Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Annotation Release Date	Assembly Stats Total Number of Chromosomes	Assembly Stats Number of Contigs	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly Stats GC Percent	Annotation BUSCO Complete	Annotation BUSCO Single Copy	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Missing	Annotation BUSCO Lineage	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	CheckM marker set	CheckM completeness	CheckM contamination
ASM2582081v1	GCA_025820815.1	GCF_025820815.1	Halomonas qinghailakensis	2937790	Inconclusive		ZZQ-149					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-05-03	2	2	Complete Genome	2022-10-24		2	52							Illumina HiSeq	College of Life Sciences and Technology, Wuhan Polytechnic University	PRJNA831340	SAMN27753154	3461	3344	35	Halomonas	99.47	1.49
ASM2582081v1	GCF_025820815.1	GCA_025820815.1	Halomonas qinghailakensis	2937790	Inconclusive		ZZQ-149					GCF_025820815.1-RS_2025_11_23	2025-11-23	2	2	Complete Genome	2022-10-24		2	52							Illumina HiSeq	College of Life Sciences and Technology, Wuhan Polytechnic University	PRJNA831340	SAMN27753154	3476	3367	27	Halomonas	99.47	1.49
ASM188661v1	GCA_001886615.1	GCF_001886615.1	Halomonas aestuarii	1897729	OK		Hb3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2016-11-17	1	1	Complete Genome	2016-11-28		1	68							PacBio	Jeju National University	PRJNA353720	SAMN06019500	3263	3150	33	Halomonas	99.5	1.74
ASM188661v1	GCF_001886615.1	GCA_001886615.1	Halomonas aestuarii	1897729	OK		Hb3					GCF_001886615.1-RS_2025_04_22	2025-04-22	1	1	Complete Genome	2016-11-28		1	68							PacBio	Jeju National University	PRJNA353720	SAMN06019500	3340	3231	27	Halomonas	99.5	1.74
ASM3969175v1	GCA_039691755.1	GCF_039691755.1	Halomonas kashgarensis	3084920	OK		zp-37					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-10-27	3	3	Complete Genome	2024-05-20		3	59.5							llumina TruSeq	Henan Agricultural University	PRJNA1031989	SAMN37977611	3232	3108	42	Halomonas	99.27	3.08
ASM3969175v1	GCF_039691755.1	GCA_039691755.1	Halomonas kashgarensis	3084920	OK		zp-37					GCF_039691755.1-RS_2025_03_02	2025-03-02	3	3	Complete Genome	2024-05-23		3	59.5							llumina TruSeq	Henan Agricultural University	PRJNA1031989	SAMN37977611	3245	3119	44	Halomonas	99.27	3.08
ASM3188612v1	GCA_031886125.1	GCF_031886125.1	Halomonas piscis	3031727	OK		SG2L-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-03-09	1	1	Complete Genome	2023-09-25		1	63.5							PacBio Sequel; Illumina HiSeq	Korea Research Institute of Bioscience and Biotechnology (KRIBB)	PRJNA940285	SAMN33560840	3022	2871	67	Halomonas	99.11	0.55
ASM3188612v1	GCF_031886125.1	GCA_031886125.1	Halomonas piscis	3031727	OK		SG2L-4					GCF_031886125.1-RS_2025_12_09	2025-12-09	1	1	Complete Genome	2023-09-25		1	63.5							PacBio Sequel; Illumina HiSeq	Korea Research Institute of Bioscience and Biotechnology (KRIBB)	PRJNA940285	SAMN33560840	3036	2886	66	Halomonas	99.11	0.55
ASM3050569v1	GCA_030505695.1	GCF_030505695.1	Halomonas alkalicola	1930622	OK		M2							1	1	Complete Genome	2023-07-19		1	68							Oxford Nanopore	Beijing Forestry University	PRJNA991745	SAMN36316421				Halomonas	99.33	4.05
ASM3050569v1	GCF_030505695.1	GCA_030505695.1	Halomonas alkalicola	1930622	OK		M2					GCF_030505695.1-RS_2025_07_18	2025-07-18	1	1	Complete Genome	2023-07-19		1	68							Oxford Nanopore	Beijing Forestry University	PRJNA991745	SAMN36316421	3739	3618	39	Halomonas	99.33	4.05
ASM5249634v1	GCA_052496345.1	GCF_052496345.1	Halomonas mongoliensis	321265	OK		BS224							1	1	Complete Genome	2025-09-08		1	67.5							Oxford Nanopore PromethION	Institute of Petroleum and Natural Resources (IPR), Pontifical Catholic University of Rio Grande do Sul	PRJNA1274016	SAMN48970955				Halomonas	99.44	1.47
ASM5249634v1	GCF_052496345.1	GCA_052496345.1	Halomonas mongoliensis	321265	OK		BS224					GCF_052496345.1-RS_2025_09_09	2025-09-09	1	1	Complete Genome	2025-09-10		1	67.5							Oxford Nanopore PromethION	Institute of Petroleum and Natural Resources (IPR), Pontifical Catholic University of Rio Grande do Sul		SAMN48970955	3397	3306	10	Halomonas	99.44	1.47
ASM254979v1	GCA_002549795.1	GCF_002549795.1	Halomonas beimenensis	475662	OK		NTU-111					Annotation submitted by National Taiwan University	2017-10-13	1	1	Complete Genome	2017-10-13		1	68.5							PacBio	National Taiwan University	PRJNA386843	SAMN07135858	3892	3807		Halomonas	99.73	2.22
ASM254979v1	GCF_002549795.1	GCA_002549795.1	Halomonas beimenensis	475662	OK		NTU-111					GCF_002549795.1-RS_2025_03_28	2025-03-28	1	1	Complete Genome	2017-10-13		1	68.5							PacBio	National Taiwan University	PRJNA386843	SAMN07135858	3796	3678	28	Halomonas	99.73	2.22
ASM154515v1	GCA_001545155.1	GCF_001545155.1	Halomonas chromatireducens	507626	Inconclusive		AGD 8-3					Annotation submitted by Institute of Bioengineering	2016-04-07	1	1	Complete Genome	2016-02-02		1	63							Illumina HiSeq	Institute of Bioengineering	PRJNA302842	SAMN04281796	3748	3680		Halomonas	96.44	2.54
ASM154515v1	GCF_001545155.1	GCA_001545155.1	Halomonas chromatireducens	507626	Inconclusive		AGD 8-3					GCF_001545155.1-RS_2026_03_03	2026-03-03	1	1	Complete Genome	2016-02-02		1	63							Illumina HiSeq	Institute of Bioengineering	PRJNA302842	SAMN04281796	3793	3560	165	Halomonas	96.44	2.54
ASM5021550v1	GCA_050215505.1	GCF_050215505.1	Halomonas casei	2742613	OK		ES4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2025-04-29	5	5	Complete Genome	2025-05-06		5	53.5							Oxford Nanopore GridION	Iowa State University	PRJNA1254633	SAMN48116677	3950	3820	49	Halomonas	98.51	2.78
ASM5021550v1	GCF_050215505.1	GCA_050215505.1	Halomonas casei	2742613	OK		ES4					GCF_050215505.1-RS_2025_05_07	2025-05-07	5	5	Complete Genome	2025-05-14		5	53.5							Oxford Nanopore GridION	Iowa State University	PRJNA1254633	SAMN48116677	3950	3820	49	Halomonas	98.51	2.78
IMG-taxon 2599185207 annotated assembly	GCA_900142755.1	GCF_900142755.1	Halomonas cupida	44933	OK		DSM 4740					Annotation submitted by DOE - JOINT GENOME INSTITUTE	2016-12-03		44	Scaffold	2016-12-03	FRCA01	31	59.5							Illumina HiSeq 2500,Illumina HiSeq 2500-1TB	DOE - JOINT GENOME INSTITUTE	PRJEB18385	SAMN05660971	4437	4373		Halomonas	99.18	1.02
IMG-taxon 2599185207 annotated assembly	GCF_900142755.1	GCA_900142755.1	Halomonas cupida	44933	OK		DSM 4740					GCF_900142755.1-RS_2025_12_10	2025-12-10		44	Scaffold	2016-12-03	FRCA01	31	59.5							Illumina HiSeq 2500,Illumina HiSeq 2500-1TB	DOE - JOINT GENOME INSTITUTE	PRJEB18385	SAMN05660971	4470	4387	24	Halomonas	99.18	1.02
ASM1419337v1	GCA_014193375.1	GCF_014193375.1	Halomonas campaniensis	213554	OK		5AG					Annotation submitted by DOE Joint Genome Institute	2020-08-14		83	Scaffold	2020-08-14	JACHZF01	77	68.5							Illumina HiSeq	DOE Joint Genome Institute	PRJNA332794	SAMN05445702	3692	3623		Halomonas	99.27	2.02
ASM1419337v1	GCF_014193375.1	GCA_014193375.1	Halomonas campaniensis	213554	OK		5AG					GCF_014193375.1-RS_2025_05_05	2025-05-05		83	Scaffold	2020-08-14	JACHZF01	77	68.5							Illumina HiSeq	DOE Joint Genome Institute	PRJNA332794	SAMN05445702	3669	3582	23	Halomonas	99.27	2.02
ASM3145163v1	GCA_031451635.1	GCF_031451635.1	Halomonas eurihalina	42566	OK		DSM 5720					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-04-14		26	Contig	2023-09-13	JARWAH01	26	63							Illumina HiSeq	University of Sevilla, Spain	PRJNA955141	SAMN34164602	3629	3527	28	Halomonas	99.59	0.37
ASM3145163v1	GCF_031451635.1	GCA_031451635.1	Halomonas eurihalina	42566	OK		DSM 5720					GCF_031451635.1-RS_2025_12_09	2025-12-09		26	Contig	2023-09-13	JARWAH01	26	63							Illumina HiSeq	University of Sevilla, Spain	PRJNA955141	SAMN34164602	3648	3543	31	Halomonas	99.59	0.37
ASM166228v1	GCA_001662285.1	GCF_001662285.1	Halomonas caseinilytica	438744	OK		DSM 18067								25	Contig	2016-05-31	BDEO01	25	63.5							Illumina MiSeq	Korea Polar Research Institute	PRJDB4878	SAMD00052838				Halomonas	99.8	0.86
ASM166228v1	GCF_001662285.1	GCA_001662285.1	Halomonas caseinilytica	438744	OK		DSM 18067					GCF_001662285.1-RS_2025_08_12	2025-08-12		25	Contig	2016-05-31	BDEO01	25	63.5							Illumina MiSeq	Korea Polar Research Institute	PRJDB4878	SAMD00052838	3314	3236	10	Halomonas	99.8	0.86
ASM302857v1	GCA_003028575.1	GCF_003028575.1	Halomonas urumqiensis	1684789	OK		BZ-SZ-XJ27					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2018-03-27		22	Scaffold	2018-04-01	PYUD01	20	62.5							Illumina MiSeq	Chinese Academy of Agricultural Sciences	PRJNA436860	SAMN08634331	3589	3483	41	Halomonas	99.86	1.71
ASM302857v1	GCF_003028575.1	GCA_003028575.1	Halomonas urumqiensis	1684789	OK		BZ-SZ-XJ27					GCF_003028575.1-RS_2025_03_28	2025-03-28		22	Scaffold	2018-04-01	PYUD01	20	62.5							Illumina MiSeq	Chinese Academy of Agricultural Sciences	PRJNA436860	SAMN08634331	3606	3516	25	Halomonas	99.86	1.71
ASM990200v1	GCA_009902005.1	GCF_009902005.1	Halomonas alimentaria	147248	OK		DSM 15356					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-12-30		31	Scaffold	2020-01-17	WUTT01	17	66.5							Illumina NextSeq	ICAR-National Bureau of Agriculturally Important Microorganisms	PRJNA596739	SAMN13634714	3102	2997	41	Halomonas	99.68	0.45
ASM990200v1	GCF_009902005.1	GCA_009902005.1	Halomonas alimentaria	147248	OK		DSM 15356					GCF_009902005.1-RS_2025_03_29	2025-03-29		31	Scaffold	2020-01-17	WUTT01	17	66.5							Illumina NextSeq	ICAR-National Bureau of Agriculturally Important Microorganisms	PRJNA596739	SAMN13634714	3119	3029	26	Halomonas	99.68	0.45
ASM3145179v1	GCA_031451795.1	GCF_031451795.1	Halomonas icarae	2691040	OK		JCM 33602					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-04-18		48	Contig	2023-09-13	JARWMY01	48	64							Illumina HiSeq	University of Sevilla, Spain	PRJNA956340	SAMN34210210	3244	3152	24	Halomonas	98.71	0.85
ASM3145179v1	GCF_031451795.1	GCA_031451795.1	Halomonas icarae	2691040	OK		JCM 33602					GCF_031451795.1-RS_2025_09_15	2025-09-15		48	Contig	2023-09-13	JARWMY01	48	64							Illumina HiSeq	University of Sevilla, Spain	PRJNA956340	SAMN34210210	3254	3159	27	Halomonas	98.71	0.85
ASM436355v1	GCA_004363555.1	GCF_004363555.1	Halomonas ventosae	229007	OK		CECT 5797					Annotation submitted by DOE Joint Genome Institute	2019-03-22		53	Scaffold	2019-03-22	SNZJ01	49	67.5							Illumina HiSeq	DOE Joint Genome Institute	PRJNA463290	SAMN09074961	3766	3692		Halomonas	99.39	1.7
ASM436355v1	GCF_004363555.1	GCA_004363555.1	Halomonas ventosae	229007	OK		CECT 5797					GCF_004363555.1-RS_2025_04_19	2025-04-19		53	Scaffold	2019-03-22	SNZJ01	49	67.5							Illumina HiSeq	DOE Joint Genome Institute	PRJNA463290	SAMN09074961	3786	3686	31	Halomonas	99.39	1.7
IMG-taxon 2617270760 annotated assembly	GCA_900104135.1	GCF_900104135.1	Halomonas shengliensis	419597	OK		CGMCC 1.6444					Annotation submitted by DOE - JOINT GENOME INSTITUTE	2016-10-21		29	Scaffold	2016-10-21	FNIV01	24	68.5							Illumina HiSeq 2500-1TB	DOE - JOINT GENOME INSTITUTE	PRJEB16251	SAMN04487957	3366	3282		Halomonas	99.23	1.41
IMG-taxon 2617270760 annotated assembly	GCF_900104135.1	GCA_900104135.1	Halomonas shengliensis	419597	OK		CGMCC 1.6444					GCF_900104135.1-RS_2025_05_02	2025-05-02		29	Scaffold	2016-10-21	FNIV01	24	68.5							Illumina HiSeq 2500-1TB	DOE - JOINT GENOME INSTITUTE	PRJEB16251	SAMN04487957	3373	3291	20	Halomonas	99.23	1.41
ASM4264353v1	GCA_042643535.1	GCF_042643535.1	Halomonas tibetensis	2259590	OK		KCTC 52660					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-09-30		40	Contig	2024-10-05	JBHRSQ01	40	63.5							Illumina MiSeq	Institution of Microbiology, Chinese Academy of Science(WDCM)	PRJNA595761	SAMN43282293	3358	3267	25	Halomonas	98.38	2.5
ASM4264353v1	GCF_042643535.1	GCA_042643535.1	Halomonas tibetensis	2259590	OK		KCTC 52660					GCF_042643535.1-RS_2025_11_20	2025-11-20		40	Contig	2024-10-05	JBHRSQ01	40	63.5							Illumina MiSeq	Institution of Microbiology, Chinese Academy of Science(WDCM)	PRJNA595761	SAMN43282293	3359	3262	29	Halomonas	98.38	2.5
ASM320216v1	GCA_003202165.1	GCF_003202165.1	Halomonas heilongjiangensis	1387883	OK		9-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2017-10-17		63	Scaffold	2018-06-07	PDOH01	60	66							Illumina HiSeq	Zhejiang University	PRJNA414365	SAMN07776865	4613	4446	78	Halomonas	99.8	4.41
ASM320216v1	GCF_003202165.1	GCA_003202165.1	Halomonas heilongjiangensis	1387883	OK		9-2					GCF_003202165.1-RS_2025_08_20	2025-08-20		63	Scaffold	2018-06-07	PDOH01	60	66							Illumina HiSeq	Zhejiang University	PRJNA414365	SAMN07776865	4536	4425	43	Halomonas	99.8	4.41
ASM42572v1	GCA_000425725.1	GCF_000425725.1	Halomonas halocynthiae DSM 14573	1121940	OK		DSM 14573								19	Scaffold	2013-07-11	AUDZ01	12	54							Illumina HiSeq 2000	DOE Joint Genome Institute	PRJNA188909	SAMN02440634				Halomonas	99.51	0.37
ASM42572v1	GCF_000425725.1	GCA_000425725.1	Halomonas halocynthiae DSM 14573	1121940	OK		DSM 14573					GCF_000425725.1-RS_2025_03_29	2025-03-29		19	Scaffold	2013-07-11	AUDZ01	12	54							Illumina HiSeq 2000	DOE Joint Genome Institute	PRJNA188909	SAMN02440634	2715	2624	28	Halomonas	99.51	0.37
HalSmy2.0	GCA_000265245.2	GCF_000265245.1	Halomonas smyrnensis AAD6	339656	OK		AAD6								34	Contig	2012-07-23	AJKS02	34	68							454; IonTorrent	Marmara University	PRJNA109291	SAMN02470292				Halomonas	97.78	1.33
HalSmy2.0	GCF_000265245.1	GCA_000265245.2	Halomonas smyrnensis AAD6	339656	OK		AAD6					GCF_000265245.1-RS_2025_03_21	2025-03-21		34	Contig	2012-07-23	AJKS02	34	68							454; IonTorrent	Marmara University	PRJNA109291	SAMN02470292	3352	3232	51	Halomonas	97.78	1.33
ASM5465461v1	GCA_054654615.1	GCF_054654615.1	Halomonas shantousis	1341689	OK		JCM 19368					Annotation submitted by RIKEN-BRC	2025-08-27		2	Contig	2025-08-28	BAAIER01	2	62							PacBio Revio	RIKEN-BRC	PRJDB20694	SAMD01611600	3717	3622		Halomonas	98.59	2.5
ASM5465461v1	GCF_054654615.1	GCA_054654615.1	Halomonas shantousis	1341689	OK		JCM 19368					GCF_054654615.1-RS_2026_01_24	2026-01-24		2	Contig	2025-08-28	BAAIER01	2	62							PacBio Revio	RIKEN-BRC	PRJDB20694	SAMD01611600	3704	3590	15	Halomonas	98.59	2.5
ASM305630v1	GCA_003056305.1	GCF_003056305.1	Halomonas denitrificans	370769	OK		DSM 18045								13	Contig	2018-04-18	PYVX01	13	68.5							Illumina HiSeq	Zhejiang Wanli University	PRJNA445340	SAMN08781011				Halomonas	99.52	1.46
ASM305630v1	GCF_003056305.1	GCA_003056305.1	Halomonas denitrificans	370769	OK		DSM 18045					GCF_003056305.1-RS_2025_05_03	2025-05-03		13	Contig	2018-04-18	PYVX01	13	68.5							Illumina HiSeq	Zhejiang Wanli University	PRJNA445340	SAMN08781011	3504	3414	19	Halomonas	99.52	1.46
ASM228697v1	GCA_002286975.1	GCF_002286975.1	Halomonas salipaludis	2032625	OK		WRN001					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2017-09-01		33	Contig	2017-09-06	NSKB01	33	64							Illumina MiSeq	Institute of Agricultural c and Regional Planning, Chinese Academy of Agricultural Sciences	PRJNA400729	SAMN07573017	5116	4940	97	Halomonas	99.3	3.48
ASM228697v1	GCF_002286975.1	GCA_002286975.1	Halomonas salipaludis	2032625	OK		WRN001					GCF_002286975.1-RS_2025_12_09	2025-12-09		33	Contig	2017-09-06	NSKB01	33	64							Illumina MiSeq	Institute of Agricultural c and Regional Planning, Chinese Academy of Agricultural Sciences	PRJNA400729	SAMN07573017	5187	5056	53	Halomonas	99.3	3.48
ASM2479039v1	GCA_024790395.1	GCF_024790395.1	Halomonas dongshanensis	2890835	OK		yzlin-01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-11-10		16	Scaffold	2022-08-30	JAJISC01	15	60							Illumina	Fujian Institute of Subtropical Botany	PRJNA776667	SAMN22814163	3646	3551	27	Halomonas	97.83	0.62
ASM2479039v1	GCF_024790395.1	GCA_024790395.1	Halomonas dongshanensis	2890835	OK		yzlin-01					GCF_024790395.1-RS_2025_05_13	2025-05-13		16	Scaffold	2022-08-30	JAJISC01	15	60							Illumina	Fujian Institute of Subtropical Botany	PRJNA776667	SAMN22814163	3656	3568	20	Halomonas	97.83	0.62
ASM4019633v1	GCA_040196335.1	GCF_040196335.1	Halomonas aquatica	3151123	OK		SSM6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-06-10		10	Scaffold	2024-06-15	JBEGCJ01	8	65							Illumina NovaSeq	Dongguk University	PRJNA1111290	SAMN41387431	2964	2877	21	Halomonas	97.63	1.07
ASM4019633v1	GCF_040196335.1	GCA_040196335.1	Halomonas aquatica	3151123	OK		SSM6					GCF_040196335.1-RS_2025_06_16	2025-06-16		10	Scaffold	2024-06-15	JBEGCJ01	8	65							Illumina NovaSeq	Dongguk University	PRJNA1111290	SAMN41387431	2974	2886	21	Halomonas	97.63	1.07
ASM2355499v1	GCA_023554995.1	GCF_023554995.1	Halomonas gemina	2945105	OK		ATCH28					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-05-20		54	Contig	2022-05-25	JAMJPK01	54	66.5							Illumina HiSeq	Helmholtz Zentrum Dresden-Rossendorf	PRJNA839324	SAMN28522445	3804	3657	59	Halomonas	99.52	1.58
ASM2355499v1	GCF_023554995.1	GCA_023554995.1	Halomonas gemina	2945105	OK		ATCH28					GCF_023554995.1-RS_2025_05_29	2025-05-29		54	Contig	2022-05-25	JAMJPK01	54	66.5							Illumina HiSeq	Helmholtz Zentrum Dresden-Rossendorf	PRJNA839324	SAMN28522445	3829	3689	51	Halomonas	99.52	1.58
ASM304577v1	GCA_003045775.1	GCF_003045775.1	Halomonas litopenaei	2109328	OK		SYSU ZJ2214					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2018-03-16		57	Contig	2018-04-09	PXNS01	57	64							Illumina HiSeq	Guangdong Ocean University	PRJNA437044	SAMN08637832	4259	4103	76	Halomonas	99.41	0.8
ASM304577v1	GCF_003045775.1	GCA_003045775.1	Halomonas litopenaei	2109328	OK		SYSU ZJ2214					GCF_003045775.1-RS_2025_12_11	2025-12-11		57	Contig	2018-04-09	PXNS01	57	64							Illumina HiSeq	Guangdong Ocean University	PRJNA437044	SAMN08637832	4249	4135	34	Halomonas	99.41	0.8
ASM2309424v1	GCA_023094245.1	GCF_023094245.1	Halomonas getboli	2935862	OK		YJPS3-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-04-19		31	Scaffold	2022-04-24	JALMEW01	25	68							Illumina	Korea University	PRJNA827685	SAMN27617190	3446	3337	28	Halomonas	99.74	1.15
ASM2309424v1	GCF_023094245.1	GCA_023094245.1	Halomonas getboli	2935862	OK		YJPS3-2					GCF_023094245.1-RS_2025_05_11	2025-05-11		31	Scaffold	2022-04-24	JALMEW01	25	68							Illumina	Korea University	PRJNA827685	SAMN27617190	3448	3351	15	Halomonas	99.74	1.15
ASM1419227v1	GCA_014192275.1	GCF_014192275.1	Halomonas stenophila	795312	OK		CECT 7744					Annotation submitted by DOE Joint Genome Institute	2020-08-14		41	Scaffold	2020-08-14	JACHXR01	34	67.5							Illumina	DOE Joint Genome Institute	PRJNA546698	SAMN12025512	4047	3975		Halomonas	99.41	2.86
ASM1419227v1	GCF_014192275.1	GCA_014192275.1	Halomonas stenophila	795312	OK		CECT 7744					GCF_014192275.1-RS_2025_05_05	2025-05-05		41	Scaffold	2020-08-14	JACHXR01	34	67.5							Illumina	DOE Joint Genome Institute	PRJNA546698	SAMN12025512	4036	3908	60	Halomonas	99.41	2.86
ASM3040923v1	GCA_030409235.1	GCF_030409235.1	Halomonas almeriensis	308163	OK		CECT 7050					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-06-30		25	Scaffold	2023-07-05	JAUFPO01	22	63.5							Oxford Nanopore	The Institute of Microbiology of the Chinese Academy of Sciences	PRJNA980407	SAMN35653729	2603	2501	37	Halomonas	98.45	0.37
ASM3040923v1	GCF_030409235.1	GCA_030409235.1	Halomonas almeriensis	308163	OK		CECT 7050					GCF_030409235.1-RS_2025_07_07	2025-07-07		25	Scaffold	2023-07-05	JAUFPO01	22	63.5							Oxford Nanopore	The Institute of Microbiology of the Chinese Academy of Sciences	PRJNA980407	SAMN35653729	2608	2508	35	Halomonas	98.45	0.37
ASM1318377v1	GCA_013183775.1	GCF_013183775.1	Halomonas hibernica	2591147	OK		B1.N12								43	Contig	2020-05-28	VIFN01	43	54							Illumina MiSeq	University College Cork	PRJNA550346	SAMN12125540				Halomonas	99.12	1.17
ASM1318377v1	GCF_013183775.1	GCA_013183775.1	Halomonas hibernica	2591147	OK		B1.N12					GCF_013183775.1-RS_2025_11_28	2025-11-28		43	Contig	2020-05-28	VIFN01	43	54							Illumina MiSeq	University College Cork	PRJNA550346	SAMN12125540	3569	3457	49	Halomonas	99.12	1.17
ASM4019631v1	GCA_040196315.1	GCF_040196315.1	Halomonas pelophila	3151122	OK		CS7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-06-10		33	Scaffold	2024-06-15	JBEGCI01	32	67.5							Illumina NovaSeq	Dongguk University	PRJNA1111279	SAMN41387326	3627	3533	25	Halomonas	99.77	1.82
